hash_id,titre,entreprise,lieu,region,salaire_min,salaire_max,salaire_brut,remote,contrat,contrat_type,categorie,secteur,description,lien,tags,niveau,date_creation,date_scraping,source,poste_recherche
7117cf7c8c2424f6,Client Advocate I (Meritain Health),CVS Health,"Jackson, MS",MS,,,,False,external,external,Computer and IT,Informatique / Tech,"At CVS Health, we're building a world of health around every consumer and surrounding ourselves with dedicated colleagues who are passionate about transforming health care.As the nation's leading health solutions company, we reach millions of Americans through our local presence, digital channels and more than 300,000 purpose-driven colleagues - caring for people where, when and how they choose in a way that is uniquely more connected, more convenient and more compassionate. And we do it all wit",https://www.themuse.com/jobs/cvshealth/client-advocate-i-meritain-health-882576,Computer and IT,Mid Level,2025-04-14,2026-05-02,themuse,Computer and IT
1dad61b49d3b6b00,Hardware Systems Engineer - Data Center HW,Apple,"Sunnyvale, CA",CA,,,,False,external,external,Computer and IT,Informatique / Tech,"Hardware Engineering is looking for a system validation engineer to develop, implement and execute validation plans for datacenter systems designed for large scale deployment and integrated use. This is a highly collaborative position, working cross-functionally with multiple teams to validate hardware, ensure requirements are met and issues have been captured early in the development life cycle. As a key member of our validation team, you will have the unique and rewarding opportunity to be res",https://www.themuse.com/jobs/apple/hardware-systems-engineer-data-center-hw-d943f7,Computer and IT,Mid Level,2026-05-01,2026-05-02,themuse,Computer and IT
a8814560b3d3b875,Консультант з питань обліку кредиторської заборгованості / GBS FIN Ops Associate (AP Direct & Indirect),Jabil,"Uzhgorod, Ukraine",Ukraine,,,,False,external,external,Computer and IT,Informatique / Tech,"At Jabil (NYSE: JBL), we are proud to be a trusted partner for the world's top brands, offering comprehensive engineering, supply chain, and manufacturing solutions. With 60 years of experience across industries and a vast network of over 100 sites worldwide, Jabil combines global reach with local expertise to deliver both scalable and customized solutions. Our commitment extends beyond business success as we strive to build sustainable processes that minimize environmental impact and foster vib",https://www.themuse.com/jobs/jabil/gbs-fin-ops-associate-ap-direct-indirect-eda73b,Computer and IT,Mid Level,2026-04-29,2026-05-02,themuse,Computer and IT
725f4d4868945658,Inventory Control Trainer (404),Jabil,"Florence, KY",KY,,,,False,external,external,Computer and IT,Informatique / Tech,"At Jabil (NYSE: JBL), we are proud to be a trusted partner for the world's top brands, offering comprehensive engineering, supply chain, and manufacturing solutions. With 60 years of experience across industries and a vast network of over 100 sites worldwide, Jabil combines global reach with local expertise to deliver both scalable and customized solutions. Our commitment extends beyond business success as we strive to build sustainable processes that minimize environmental impact and foster vib",https://www.themuse.com/jobs/jabil/inventory-control-trainer-404,Computer and IT,Mid Level,2026-04-29,2026-05-02,themuse,Computer and IT
b8ee2d7292b7fffa,Regional IT&D Engagement Lead -Business & DC Engagement,McLane,"Temple, TX",TX,,,,False,external,external,Computer and IT,Informatique / Tech,"Job Description Are you energized by transforming how technology enables the business? We're looking for a Regional IT&amp;D Engagement Lead to serve as a strategic partner to our business and Distribution Center (DC) leaders-bridging enterprise technology, digital supply chain capabilities, and operational execution. In this highly visible role, you'll act as the primary IT&amp;D point of contact for regional business stakeholders, translating operational needs into scalable digital solutions t",https://www.themuse.com/jobs/mclane/regional-itd-engagement-lead-business-dc-engagement,Computer and IT,Mid Level,2026-02-17,2026-05-02,themuse,Computer and IT
f43ed9ea2ffb4d2d,IT Solution Analyst III - TeleHealth,Banner Health,"Phoenix, AZ",AZ,,,,False,external,external,Computer and IT,Informatique / Tech,"Primary City/State: Phoenix, Arizona Department Name: IT Clinical Care-Corp Work Shift: Day Job Category: Information Technology Banner Health was named to Fortune's Most Innovative Companies in America 2025 list for the third consecutive year and named to Newsweek's list of Most Trustworthy Companies in America for the second year in a row. We're proud to be recognized for our commitment to the latest health care advancements and excellent patient care. The IT Telehealth team is responsible for",https://www.themuse.com/jobs/bannerhealth/it-solution-analyst-iii-telehealth,Computer and IT,Mid Level,2026-04-22,2026-05-02,themuse,Computer and IT
22bf4f4353d15bdc,Traffic Analyst I,Jabil,"Guadalajara, Mexico",Mexico,,,,False,external,external,Computer and IT,Informatique / Tech,"At Jabil (NYSE: JBL), we are proud to be a trusted partner for the world's top brands, offering comprehensive engineering, supply chain, and manufacturing solutions. With 60 years of experience across industries and a vast network of over 100 sites worldwide, Jabil combines global reach with local expertise to deliver both scalable and customized solutions. Our commitment extends beyond business success as we strive to build sustainable processes that minimize environmental impact and foster vib",https://www.themuse.com/jobs/jabil/traffic-analyst-i-580135,Computer and IT,Mid Level,2026-04-24,2026-05-02,themuse,Computer and IT
181638818726b247,Консультант з питань обліку кредиторської заборгованості/GBS FIN Ops Associate (AP Direct & Indirect),Jabil,"Uzhgorod, Ukraine",Ukraine,,,,False,external,external,Computer and IT,Informatique / Tech,"At Jabil (NYSE: JBL), we are proud to be a trusted partner for the world's top brands, offering comprehensive engineering, supply chain, and manufacturing solutions. With 60 years of experience across industries and a vast network of over 100 sites worldwide, Jabil combines global reach with local expertise to deliver both scalable and customized solutions. Our commitment extends beyond business success as we strive to build sustainable processes that minimize environmental impact and foster vib",https://www.themuse.com/jobs/jabil/gbs-fin-ops-associate-ap-direct-indirect-793131,Computer and IT,Mid Level,2026-04-29,2026-05-02,themuse,Computer and IT
f9ee14e1ce927e1d,Diagnostic Technician II,Jabil,"Florence, KY",KY,,,,False,external,external,Computer and IT,Informatique / Tech,"At Jabil (NYSE: JBL), we are proud to be a trusted partner for the world's top brands, offering comprehensive engineering, supply chain, and manufacturing solutions. With 60 years of experience across industries and a vast network of over 100 sites worldwide, Jabil combines global reach with local expertise to deliver both scalable and customized solutions. Our commitment extends beyond business success as we strive to build sustainable processes that minimize environmental impact and foster vib",https://www.themuse.com/jobs/jabil/diagnostic-technician-ii-15ca7e,Computer and IT,Mid Level,2026-04-03,2026-05-02,themuse,Computer and IT
2b70fc8f29dd467e,Domain Consultant,Palo Alto Networks,"New York, NY",NY,,,,False,external,external,Computer and IT,Informatique / Tech,"Our Mission At Palo Alto Networks®, we're united by a shared mission-to protect our digital way of life. We thrive at the intersection of innovation and impact, solving real-world problems with cutting-edge technology and bold thinking. Here, everyone has a voice, and every idea counts. If you're ready to do the most meaningful work of your career alongside people who are just as passionate as you are, you're in the right place. Who We Are In order to be the cybersecurity partner of choice, we m",https://www.themuse.com/jobs/paloaltonetworks/domain-consultant-ea928b,Computer and IT,Senior Level,2026-04-25,2026-05-02,themuse,Computer and IT
