titre,entreprise,lieu,remote,description,lien,tags,date_scraping,source
Data Engineer (Mid-Sen Level) - Fully Remote,SOFTGAMES,Berlin,False,"<p><span style=""color: #000000"">SOFTGAMES is looking for a </span><strong><span style=""color: #000000"">Data Engineer (Mid-Sen Level) - Fully Remote</span></strong><span style=""color: #000000""> to help",https://www.arbeitnow.com/jobs/companies/softgames/data-engineer-mid-sen-level-fully-remote-berlin-364711,"Internet and software, bachelor's degree",2026-05-02,arbeitnow
CEO (m/w/d) Softwareunternehmen | Next Step für Business Unit oder Vertriebsleiter,ANGEHEUERT GmbH,Göttingen,False,"<p style="";""><strong>Zwei mittelständische Softwareunternehmen</strong> mit jeweils eigenständigen Teams <strong>stehen vor der nächsten Entwicklungsphase</strong> und suchen einen <strong>unternehmer",https://www.arbeitnow.com/jobs/companies/angeheuert-gmbh/ceo-softwareunternehmen-next-step-fur-business-unit-oder-vertriebsleiter-gottingen-58067,"Management, associate's degree",2026-05-02,arbeitnow
Trainee Developer / Programmierer für KI-Agenten (m/w/d),DCF Verlag GmbH,Koblenz,False,<p>Wir sind die am schnellsten wachsende PR-Agentur Europas – und wir haben noch viel vor. Mit der Kraft von Künstlicher Intelligenz wollen wir unsere Prozesse transformieren und die Branche neu defin,https://www.arbeitnow.com/jobs/companies/dcf-verlag-gmbh/trainee-developer-programmierer-fur-ki-agenten-koblenz-162628,"Internet and software, high school coursework",2026-05-02,arbeitnow
Mitarbeiter:in Team Field Services (m/w/d),ivl Informationsverarbeitung Leverkusen  GmbH,Leverkusen,False,"<p>Du bist technikbegeistert, neugierig und hast Lust, mit modernen IT-Lösungen und Hardware den digitalen Wandel aktiv mitzugestalten?</p>
<p>Dann bist Du bei uns genau richtig!</p>
<p>Die <strong>iv",https://www.arbeitnow.com/jobs/companies/ivl-informationsverarbeitung-leverkusen-gmbh/mitarbeiterin-team-field-services-leverkusen-173206,IT,2026-05-02,arbeitnow
Werkstudent im Bereich Marketing & Kommunikation (all genders),Accenture,Kronberg,False,"<p>Hast du Lust, uns ab sofort für mindestens zwölf Monate mit bis zu 20 Std./Woche als Werkstudent:in in unserem Marketing + Communications‑Team im deutschsprachigen Raum zu unterstützen?</p>
<h2>Auf",https://www.arbeitnow.com/jobs/companies/accenture/werkstudent-im-bereich-marketing-kommunikation-all-genders-kronberg-478329,Marketing and Communication,2026-05-02,arbeitnow
"Fullstack-Entwickler (m/w/d) mit Angular und Springboot Erfahrung, sowie optimal mit OSPlus Kenntnissen (Ref.Nr.: 46658)",Wavestone Germany AG,Münster,False,"<p>Wir suchen einen Fullstack Entwickler für die Mitarbeit an Vertriebs- und Kompositprojekten im Versicherungsumfeld, wobei der Schwerpunkt auf der Weiterentwicklung von Tarifrechnern (TWCs) liegt.</",https://www.arbeitnow.com/jobs/companies/wavestone-germany-ag/fullstack-entwickler-mit-angular-und-springboot-erfahrung-sowie-optimal-mit-osplus-kenntnissen-refnr-46658-munster-257771,IT,2026-05-02,arbeitnow
Junior Accountant/Buchhalter (m/w/d),MatchWave,Berlin,False,"<p>Wir suchen für ein etabliertes <strong>privates Beteiligungsunternehmen und Family Office</strong> mit langfristigem Investitionsansatz.</p>
<p>Früher haben wir im Bereich Buchhaltung erfolgreich m",https://www.arbeitnow.com/jobs/companies/matchwave/junior-accountant-buchhalter-berlin-85391,Finance,2026-05-02,arbeitnow
Oracle Database Spezialist (m/w/d) (Ref.Nr.: 46648),Wavestone Germany AG,Münster,False,"<p>Wir suchen für ein Projekt im Versicherungsumfeld einen erfahrenen Oracle Database Specialist (m/w/d), der das Team im Bereich Controlling bei der Optimierung und Automatisierung von Datenbankproze",https://www.arbeitnow.com/jobs/companies/wavestone-germany-ag/oracle-database-spezialist-refnr-46648-munster-14969,IT,2026-05-02,arbeitnow
Shopify E-Commerce Manager/in - International & B2B (m/w/d),Presch Tools GmbH,Ganderkesee,True,"<p>Es ist Feierabend und du verlässt das Office, happy und mit einem guten Gefühl. Dein erster Tag bei PRESCH war einfach stark 🔥</p>
<p>Du hast direkt dein Team kennengelernt, einen ersten Blick in d",https://www.arbeitnow.com/jobs/companies/presch-tools-gmbh/shopify-e-commerce-manager-international-b2b-ganderkesee-278253,"Remote, Online Marketing",2026-05-02,arbeitnow
(Senior) Teamlead Software Development,Bikeleasing-Service GmbH & Co. KG,Berlin,True,"<h2>Your mission</h2>
<p>The Bikeleasing Group is one of the leading employer‑benefit and mobility solutions groups in Germany. With several specialized companies and strong, profitable growth, we are",https://www.arbeitnow.com/jobs/companies/bikeleasing-service-gmbh-co-kg/senior-teamlead-software-development-berlin-107950,"Remote, Software Development",2026-05-02,arbeitnow
HR Manager (m/w/d),P&P Group,Fürth,False,"<p>Die P&#x26;P Group ist operativer Immobilieninvestor und Investorenplattform mit Standorten in München, Fürth und London. Mit ausgezeichneter Technikexpertise und 30-jähriger Historie werden komple",https://www.arbeitnow.com/jobs/companies/pp-group/hr-manager-furth-316762,HR,2026-05-02,arbeitnow
Ausbildung zum Fachinformatiker für Anwendungsentwicklung (m/w/d) für 2026,SAC GmbH,Darmstadt,False,"<p><strong>Darmstadt | ab 01.08.2026 | Vollzeit</strong><br>
Wir suchen Nachwuchs-Talente für unser IT Service Team!</p>
<h2>Aufgaben</h2>
<ul>
<li>Entwicklung von Prozessautomatisierungen mit Flowste",https://www.arbeitnow.com/jobs/companies/sac-gmbh/ausbildung-zum-fachinformatiker-fur-anwendungsentwicklung-fur-2026-darmstadt-411925,Helpdesk,2026-05-02,arbeitnow
Systemadministrator (m|w|d),LeySelect GmbH,Frankfurt am Main,False,<p>Unser Mandant ist ein auf Cyber Security spezialisiertes Beratungsunternehmen. Als SAP Silber Partner orientiert sich unser Mandant an den Bedürfnissen seiner Kunden und bietet innovative und nachh,https://www.arbeitnow.com/jobs/companies/leyselect-gmbh/systemadministrator-mwd-frankfurt-am-main-29232,System and Network Administration,2026-05-02,arbeitnow
ERP-Consultant Sage b7 oder Sage x3(w/m/d),Specific-Group Germany GmbH,Munich,False,"<p><strong>Dein nächster Karriereschritt im ERP-Consulting!</strong></p>
<p>Du möchtest nicht nur Systeme betreuen, sondern Unternehmensprozesse aktiv gestalten? Bei uns arbeitest Du an anspruchsvolle",https://www.arbeitnow.com/jobs/companies/specific-group-germany-gmbh/erp-consultant-sage-b7-oder-sage-x3-munich-63609,"Consulting, Engineering",2026-05-02,arbeitnow
(Junior) COO Associate,everphone GmbH,Berlin,False,"<h2>Über die Rolle</h2>
<p>Als COO Associate (w/m/d) agierst du als zentrale Schnittstelle direkt an der Seite unseres COO und treibst die kontinuierliche Weiterentwicklung unseres Operating Models vo",https://www.arbeitnow.com/jobs/companies/everphone-gmbh/junior-coo-associate-berlin-154598,Business Development,2026-05-02,arbeitnow
Social Media Manager (all genders),mammaly,Berlin,False,"<p>Wir machen das Leben von Hunden besser. Und das ihrer Menschen gleich mit. Wir suchen wir jemanden, der unsere Passion für glückliche Vierbeiner nicht nur versteht, sondern in mitreißenden Content ",https://www.arbeitnow.com/jobs/companies/mammaly/social-media-manager-all-genders-berlin-222440,Social Media Manager,2026-05-02,arbeitnow
(Junior) Performance Marketing Manager - Paid Social & Video (m/w/d),Digital Trendteam,Mainz,False,"<p><strong>Dein Platz im Digital Trendteam</strong> 🚀</p>
<p>Wir sind das Digital Trendteam – wir warten nicht auf Trends, wir setzen sie.<br>
Bei uns gilt: Arbeite dort, wo du am produktivsten bist –",https://www.arbeitnow.com/jobs/companies/digital-trendteam/junior-performance-marketing-manager-paid-social-video-mainz-454612,Marketing and Communication,2026-05-02,arbeitnow
(Senior) Direct Response Copywriter (all genders),mammaly,Berlin,True,"<p>Du bist kein Texter. Du bist ein Umsatzmacher. Du weißt genau, wie ein Funnel tickt, was eine Headline ausmacht und warum Menschen kaufen. Oder es eben nicht tun. Du hast bewiesen, dass deine Texte",https://www.arbeitnow.com/jobs/companies/mammaly/senior-direct-response-copywriter-all-genders-berlin-344573,"Remote, Marketing and Communication",2026-05-02,arbeitnow
SEO / SEA Spezialist (m/w/d) - Freelance,Digital Trendteam,Mainz,True,"<p><strong>Dein Platz im Digital Trendteam 🚀</strong></p>
<p>Bei uns zählt das Ergebnis - daher: <strong>Arbeite dort, wo du am produktivsten bist.</strong> Wir suchen keinen Berater, sondern einen Ex",https://www.arbeitnow.com/jobs/companies/digital-trendteam/seo-sea-spezialist-freelance-mainz-299971,"Remote, Marketing and Communication",2026-05-02,arbeitnow
(Junior) SEO / SEA Manager (m/w/d),Digital Trendteam,Mainz,False,"<p><strong>Dein Platz im Digital Trendteam</strong> 🚀</p>
<p>Wir sind das <strong>Digital Trendteam</strong> - Wir warten nicht auf Trends, wir setzen sie.</p>
<p>Bei uns gilt: <strong>Arbeite dort, w",https://www.arbeitnow.com/jobs/companies/digital-trendteam/junior-seo-sea-manager-mainz-374616,Marketing and Communication,2026-05-02,arbeitnow
Marketing Strategist & Account Manager (m/w/d),Digital Trendteam,Mainz,False,"<p><strong>Dein Platz im Digital Trendteam 🚀</strong></p>
<p>Wir stehen für <strong>Performance, die funktioniert</strong>. Bei uns gibt es keine festgefahrenen Strukturen, sondern den Freiraum so zu ",https://www.arbeitnow.com/jobs/companies/digital-trendteam/marketing-strategist-account-manager-mainz-152070,Marketing Manager,2026-05-02,arbeitnow
Technical Operations Manager (m/f/d),ANGEHEUERT GmbH Personalberatung,Nuremberg,False,"<p>Our client develops highly complex technologies in the field of deep tech, with a strong focus on quantum communication. Within an international team of physicists and engineers, solutions are crea",https://www.arbeitnow.com/jobs/companies/angeheuert-gmbh-personalberatung/technical-operations-manager-nuremberg-392074,IT,2026-05-02,arbeitnow
Product Owner - Data Analytics (m/w/d),Berliner Verlag GmbH,Berlin,False,"<p>Als <strong>Product Owner – Data Analytics (m/w/d)</strong> bei der .img – itai’s machine GmbH, der digitalen Tochter des Berliner Verlags, übernimmst du eine zentrale Rolle beim Aufbau eines daten",https://www.arbeitnow.com/jobs/companies/berliner-verlag-gmbh/product-owner-data-analytics-berlin-125876,Product Management,2026-05-02,arbeitnow
Finance Lead (m/w/d),Biomatch GmbH,Murg,False,"<p><strong>Über das Unternehmen</strong></p>
<p>Unser Mandant ist ein weltweit agierender Pionier für hocheffiziente Systemlösungen in der Food-Technologie. Mit mehreren tausend Mitarbeitern global ve",https://www.arbeitnow.com/jobs/companies/biomatch-gmbh/finance-lead-murg-85994,Finance,2026-05-02,arbeitnow
Werkstudent (m/w/d) - IT Consulting & KI,MGRP,Frankfurt am Main,False,"<p>MGRP ist eine Management-Beratungsboutique für IT-Strategie und Sourcing auf stabilem Wachstumskurs – erfolgreiche Projekte und Kundenzufriedenheit bestätigen MGRP seit über 10 Jahren.</p>
<h2>Aufg",https://www.arbeitnow.com/jobs/companies/mgrp/werkstudent-it-consulting-ki-frankfurt-am-main-17343,Business Consulting,2026-05-02,arbeitnow
Standortleiter (m/w/d) mit Schwerpunkt Smart Repair,SmartPro NRW GmbH,Kempen,False,"<p><strong>Bereit für den nächsten Karriereschritt? Übernehmen Sie Verantwortung und gestalten Sie aktiv unseren Erfolg mit!</strong></p>
<p>Als <strong>Standortleiter (m/w/d) mit Schwerpunkt Smart Re",https://www.arbeitnow.com/jobs/companies/smartpro-nrw-gmbh/standortleiter-mit-schwerpunkt-smart-repair-kempen-327845,"Management, Team Leader",2026-05-02,arbeitnow
Technical Operations Manager (m/w/d),ANGEHEUERT GmbH Personalberatung,Munich,False,"<p>Unser Kunde entwickelt hochkomplexe Technologien im Bereich Deep Tech mit Fokus auf Quantenkommunikation. In einem internationalen Team aus Physikern und Ingenieuren entstehen Lösungen, die sowohl ",https://www.arbeitnow.com/jobs/companies/angeheuert-gmbh-personalberatung/technical-operations-manager-munich-234120,IT,2026-05-02,arbeitnow
IT-Forensiker / Analysten (mIwId),LeySelect GmbH,Frankfurt am Main,False,"<p>Unser Mandant ist ein spezialisiertes Beratungsunternehmen im Bereich 𝗖𝘆𝗯𝗲𝗿 𝗦𝗲𝗰𝘂𝗿𝗶𝘁𝘆. Es bietet individuelle, nachhaltige Lösungen und setzt auf langfristige, vertrauensvolle Kundenbeziehungen. Mit",https://www.arbeitnow.com/jobs/companies/leyselect-gmbh/it-forensiker-analysten-miwid-frankfurt-am-main-317248,IT Security,2026-05-02,arbeitnow
(Senior) IT Operations Engineer (gn),Bikeleasing-Service GmbH & Co. KG,Berlin,True,"<h2>Deine Aufgaben</h2>
<p>Die Bikeleasing Gruppe gehört zu den führenden Anbietern moderner Dienstradleasing-Lösungen und verbindet digitale Plattformen, innovative Services und ein stark wachsendes ",https://www.arbeitnow.com/jobs/companies/bikeleasing-service-gmbh-co-kg/senior-it-operations-engineer-gn-berlin-482461,"Remote, Software Development",2026-05-02,arbeitnow
(Senior) UI/UX Designer (m/w/d) - App Design / fluege.de,Invia Flights Germany GmbH,Leipzig,False,"<h2>Einleitung</h2>
<p>Invia Flights Germany ist bekannt für eines der erfolgreichsten Flugportale in Deutschland – . Wir sind Teil der Invia Group, einem paneuropäischen Marktführer im Online-Reiseve",https://www.arbeitnow.com/jobs/companies/invia-flights-germany-gmbh/senior-ui-ux-designer-app-design-fluegede-leipzig-386233,Graphic Arts and Communication Design,2026-05-02,arbeitnow
Application Manager (M/W/D) FINANCIAL SERVICES,crossbuilders GmbH,Cologne,False,"<ul>
<li><strong>Fokus</strong>: Financial Services &#x26; Application Management</li>
<li><strong>Bereich</strong>: Betrieb/ Applikationsbetreuung/ Shareholder-Management</li>
<li><strong>Einsatzort<",https://www.arbeitnow.com/jobs/companies/crossbuilders-gmbh/application-manager-financial-services-cologne-461582,Process Management,2026-05-02,arbeitnow
Client Success Director (m/f/d),Wellhub,"Múnich, Baviera, Alemania",False,"<p><span style=""font-size: 12pt;""><strong>Your wellbeing, our mission. Join a company shaping a healthier world.</strong></span></p>
<p><span style=""font-size: 12pt;""><strong>GET TO KNOW US</strong></",https://www.arbeitnow.com/jobs/companies/wellhub/client-success-director-munich-297251,,2026-05-02,arbeitnow
Controller / Business & Financial Analyst (m/w/d),smartseller gmbh & co. kg,Hamburg,False,<p>Zur Verstärkung unseres Teams in unserem Headquarter in Hamburg suchen wir ab sofort einen <strong>Controller / Business &#x26; Financial Analyst (m/w/d</strong>) in Voll- oder Teilzeit – wahlweise,https://www.arbeitnow.com/jobs/companies/smartseller-gmbh-co-kg/controller-business-financial-analyst-hamburg-209787,Controlling,2026-05-02,arbeitnow
Product Marketing Manager (all genders),SYNAOS GmbH,Hanover,True,"<p>Als dedizierter Product Marketing Manager bei SYNAOS bringst du Struktur und Klarheit in komplexe Technologien. Du prägst maßgeblich, wie wir unsere Plattform am Markt positionieren, wie wir mit po",https://www.arbeitnow.com/jobs/companies/synaos-gmbh/product-marketing-manager-all-genders-hanover-101926,"Remote, Product Management",2026-05-02,arbeitnow
Project Manager - Operations & Development (m/w/d),smartseller gmbh & co. kg,Hamburg,False,<p>Zur Verstärkung unseres Teams in unserem Headquater in Hamburg suchen wir ab sofort einen <strong>Project Manager - Operations &#x26; Development</strong> (m/w/d) in Vollzeit - wahlweise vor Ort in,https://www.arbeitnow.com/jobs/companies/smartseller-gmbh-co-kg/project-manager-operations-development-hamburg-403998,Business Development,2026-05-02,arbeitnow
Projektmanager (m/w/d) Wegerecht und Flächensicherung - Erneuerbare Energien,Deutscher Bauservice GmbH,Molbergen,False,"<p>Du willst die Energiewende nicht nur begleiten – du willst sie aktiv gestalten? Dann bist du bei uns genau richtig.</p>
<p>Wir entwickeln und realisieren Projekte im Bereich Windenergie, Photovolta",https://www.arbeitnow.com/jobs/companies/deutscher-bauservice-gmbh/projektmanager-wegerecht-und-flachensicherung-erneuerbare-energien-molbergen-402096,Project Management,2026-05-02,arbeitnow
Bauleiter (m/w/d) - Windparkbau,Deutscher Bauservice GmbH,Freiburg im Breisgau,False,"<p>Die Welt verändert sich - Du Dich auch?</p>
<p>Deine Zukunft beginnt heute! Im Zeitalter der Energiewende setzen wir auf neue Wege und mit dem offiziellen Titel als Wachstumschampion setzen wir nic",https://www.arbeitnow.com/jobs/companies/deutscher-bauservice-gmbh/bauleiter-windparkbau-freiburg-im-breisgau-56646,Engineering,2026-05-02,arbeitnow
Projektentwickler (m/w/d) für erneuerbare Energien,Deutscher Bauservice GmbH,Molbergen,False,"<p>Eine spannende Herausforderung für die nächsten Jahre in Deutschland wird ohne Frage die Etablierung Erneuerbare Energien sein.</p>
<p>Du hast Lust, Deinen entscheidenden Beitrag dazu zu leisten? D",https://www.arbeitnow.com/jobs/companies/deutscher-bauservice-gmbh/projektentwickler-fur-erneuerbare-energien-molbergen-229321,Power Engineering and Environmental Engineering,2026-05-02,arbeitnow
Projektplaner/Terminplaner (m/w/d) - Infrastrukturausbau und Trassenbau,Deutscher Bauservice GmbH,Molbergen,False,"<p>Die Energiewende ist eines der größten Infrastrukturprojekte unserer Zeit. Damit der Strom fließen kann, brauchen wir Menschen, die den Überblick behalten, wenn es komplex wird. Wir suchen einen ve",https://www.arbeitnow.com/jobs/companies/deutscher-bauservice-gmbh/projektplaner-terminplaner-infrastrukturausbau-und-trassenbau-molbergen-170272,Power Engineering and Environmental Engineering,2026-05-02,arbeitnow
Windparkplaner (m/w/d),Deutscher Bauservice GmbH,Molbergen,False,<p>Wir entwickeln uns aktuell rasant zu einem führenden Anbieter im Bereich Dienstleistungen für Ingenieurbüros und Tiefbauunternehmen. Um unsere bestehenden Projekte oder auch Projektbereiche weiter ,https://www.arbeitnow.com/jobs/companies/deutscher-bauservice-gmbh/windparkplaner-molbergen-460467,Project Management,2026-05-02,arbeitnow
Content Creator (Part-Time),Pausify,Berlin,False,"<p><strong>Can you make content people actually watch?</strong></p>
<p>Join us at Pausify as a Content Creator and become part of the biggest and most active community of book lovers &#x26; creatives ",https://www.arbeitnow.com/jobs/companies/pausify/content-creator-part-time-berlin-34658,Social Media Manager,2026-05-02,arbeitnow
Personalsachbearbeiter (m|w|d) bei Dunkin´Donuts&Subway,ISH GmbH,Nuremberg,False,<p>Als Master-Franchisenehmer für national und international bekannte und führende Food-Brands (wie z.B. Dunkin`Donuts und Subway) betreiben wir deutschlandweit Standorte dieser Franchisemarken und ba,https://www.arbeitnow.com/jobs/companies/ish-gmbh/personalsachbearbeiter-mwd-bei-dunkindonutssubway-nuremberg-105645,HR,2026-05-02,arbeitnow
Niederlassungsleiter (gn),MatchingCompany®,Munich,False,"<p><strong>➡️ Du besitzt fundierte Kenntnisse der Branche und hältst als operativ agierende Führungskraft gerne alle Fäden zusammen? ⬅️</strong></p>
<p>Die MatchingCompany® ist dein Partner, wenn es u",https://www.arbeitnow.com/jobs/companies/matchingcompany/niederlassungsleiter-gn-munich-296119,"Management, Team Leader",2026-05-02,arbeitnow
Senior SEA Manager (m/w/d),Sunlab GmbH,Aschaffenburg,False,"<p><span style=""color: #000000"">Hey, wir sind </span><strong><span style=""color: #000000"">Sunlab</span></strong><span style=""color: #000000""> – schön, dass du vorbeischaust.<br /><br />Du willst SEA n",https://www.arbeitnow.com/jobs/companies/sunlab-gmbh/senior-sea-manager-aschaffenburg-343108,"Marketing and pr, vocational",2026-05-02,arbeitnow
Senior Paid Social Manager (m/w/d),Sunlab GmbH,Aschaffenburg,False,"<p><span style=""color: #000000"">Hey, wir sind </span><strong><span style=""color: #000000"">Sunlab</span></strong><span style=""color: #000000""> – schön, dass du vorbeischaust.<br /><br />Du hast Lust, P",https://www.arbeitnow.com/jobs/companies/sunlab-gmbh/senior-paid-social-manager-aschaffenburg-177742,"Marketing and pr, vocational",2026-05-02,arbeitnow
"Werkstudent (m/w/d) – Finance & Beratung (unternehmerisch, leistungsbasiert)",Kevin Kehr,Hamburg,False,"<p><span style=""color: #000000"">Du studierst und willst mehr als einen „Nebenjob“? Du willst Verantwortung, klare Ziele und ein Umfeld, in dem Leistung zählt? Dann ist diese Werkstudentenrolle dein Ei",https://www.arbeitnow.com/jobs/companies/kevin-kehr/werkstudent-finance-beratung-unternehmerisch-leistungsbasiert-hamburg-224878,"Finance, high school or equivalent",2026-05-02,arbeitnow
Steuerfachangestellter/Steuerassistent/ Bilanzbuchhalter (m/w/d),Pelka und Sozien GmbH,Cologne,False,"<p>Herzlich willkommen bei Pelka, einer interdisziplinären, mittelständischen Sozietät aus Rechtsanwälten, Steuerberatern und Wirtschaftsprüfern. Bei uns verbindet sich fachliche Expertise aus untersc",https://www.arbeitnow.com/jobs/companies/pelka-und-sozien-gmbh/steuerfachangestellter-steuerassistent-bilanzbuchhalter-cologne-376408,Finance,2026-05-02,arbeitnow
"IT - Administrator:in Microsoft WinServer2019, Berlin, 55.000 - 70.000 Medizintechnik",wabcon,Berlin,False,"<p>Unser Kunde ist einer der Martführer im Bereich medizintechnischer Präzisionslösungen (Kamerasysteme, minimal-invasiver Gebrauch). Das Portfolio umfasst Systeme, Software und Services für klinische",https://www.arbeitnow.com/jobs/companies/wabcon/it-administratorin-microsoft-winserver2019-berlin-55000-70000-medizintechnik-253428,System and Network Administration,2026-05-02,arbeitnow
HR Manager (m/w/d) mit Schwerpunkt Recruiting,nobleglass GmbH & Co.KG,Kolbermoor,False,"<p>Über uns</p>
<p>Nobleglass ist seit 1984 Pionier im mobilen Verglasungsservice – werde Teil unserer innovativen Erfolgsgeschichte!</p>
<p>„Wir bringen die Werkstatt direkt zu Dir nach Hause – Du mu",https://www.arbeitnow.com/jobs/companies/nobleglass-gmbh-cokg/hr-manager-mit-schwerpunkt-recruiting-kolbermoor-32947,Recruitment and Selection,2026-05-02,arbeitnow
(Senior) Customer Success Manager (German-speaking),Wunder Mobility,Hamburg,False,"<p>Wunder Mobility builds the software that powers shared mobility worldwide. Our platform runs 2M+ rides every month, 30M daily API calls, and 20,000+ vehicles across Europe, the US, and Asia. Operat",https://www.arbeitnow.com/jobs/companies/wunder-mobility/senior-customer-success-manager-german-speaking-hamburg-207121,Customer Service,2026-05-02,arbeitnow
IT Application Manager ERP & Webanwendungen (m/w/d),Rochus Mummert digital GmbH,Osnabrück,False,"<p>Als führendes deutsches Auktionshaus für Münzen, Medaillen und Edelmetalle verbindet unser Mandant jahrzehntelange Tradition mit einer ambitionierten Digitalstrategie. Das inhabergeführte Unternehm",https://www.arbeitnow.com/jobs/companies/rochus-mummert-digital-gmbh/it-application-manager-erp-webanwendungen-osnabruck-11986,Applications Administration,2026-05-02,arbeitnow
Marketing Manager (m/w/d),KRUMBEIN rationell GmbH & Co. KG,Bad Tabarz,False,<p><strong>Du</strong> <strong>hast Erfahrung im Bereich B2B Kommunikation</strong> <strong>und bist digital affin?</strong> <strong>Du wünschst Dir einen vielseitigen Job – von der Online</strong>‑<s,https://www.arbeitnow.com/jobs/companies/krumbein-rationell-gmbh-co-kg/marketing-manager-bad-tabarz-278628,Marketing Manager,2026-05-02,arbeitnow
Acquisition & Creative Strategy Lead (m/w/d) - Teilzeit,fembites,Berlin,True,"<p>Hilf uns, Meta als Hauptumsatzkanal sauber und profitabel zu skalieren, Creative Testing massiv zu professionalisieren, Google als zweiten Performance-Kanal aufzubauen und die Learnings in Shop, La",https://www.arbeitnow.com/jobs/companies/fembites/acquisition-creative-strategy-lead-teilzeit-berlin-45069,"Remote, Marketing and Communication",2026-05-02,arbeitnow
Expert Packaging Engineer (m/f/d),KoRo Handels GmbH,Berlin,False,"<h2>Your tasks</h2>
<p>As an <strong>Expert</strong> <strong>Packaging Engineer (m/f/d)</strong>, you will play a key role in shaping and scaling KoRo’s packaging landscape to support our growing prod",https://www.arbeitnow.com/jobs/companies/koro-handels-gmbh/expert-packaging-engineer-berlin-205585,Marketing and Communication,2026-05-02,arbeitnow
"Elektriker (m/w/d) mit Fokus Hardware, technische Infrastruktur & Serienentwicklung",Krug & Priester GmbH & Co. KG,Balingen,False,<p>Krug &#x26; Priester GmbH &#x26; Co. KG mit Sitz in Balingen ist ein führender Hersteller von wegweisenden Zerkleinerungslösungen für die Welt von morgen. Die Lösungen sind dabei in zwei Geschäftsb,https://www.arbeitnow.com/jobs/companies/krug-priester-gmbh-co-kg/elektriker-mit-fokus-hardware-technische-infrastruktur-serienentwicklung-balingen-329179,Engineering,2026-05-02,arbeitnow
Elektro- und Informationstechniker (m/w/d) Elektronik & C++ Maschinensteuerung,Krug & Priester GmbH & Co. KG,Balingen,False,<p>Krug &#x26; Priester GmbH &#x26; Co. KG mit Sitz in Balingen ist ein führender Hersteller von wegweisenden Zerkleinerungslösungen für die Welt von morgen. Die Lösungen sind dabei in zwei Geschäftsb,https://www.arbeitnow.com/jobs/companies/krug-priester-gmbh-co-kg/elektro-und-informationstechniker-elektronik-c-maschinensteuerung-balingen-393743,Engineering,2026-05-02,arbeitnow
Minijob (bis zu 35€/Std.): Werde Englischlehrer und sei dein eigener Boss (w/m/d),Nachhilfeunterricht,Berlin,True,"<p>Suchst du einen Job mit flexiblen Arbeitszeiten, bei dem du von zu Hause aus etwas dazuverdienen kannst? Werde Mitglied bei <em>Nachhilfeunterricht</em>, der führenden Plattform für Nachhilfeunterr",https://www.arbeitnow.com/jobs/companies/nachhilfeunterricht/minijob-bis-zu-35eur-std-werde-englischlehrer-und-sei-dein-eigener-boss-berlin-148017,"Remote, Management, Team Leader",2026-05-02,arbeitnow
Short Form Content Creator & Editor (m/w/d),GORNATION GmbH,Münster,False,"<p>Du liebst schnelle Schnitte, starke Hooks und Content, der in den ersten Sekunden Aufmerksamkeit gewinnt?</p>
<p>Wir sind GORNATION - eine Sportmarke aus Münster, gegründet 2015 mit der Mission, Ca",https://www.arbeitnow.com/jobs/companies/gornation-gmbh/short-form-content-creator-editor-munster-381686,Social Media Manager,2026-05-02,arbeitnow
Videographer & Content Editor (m/w/d),GORNATION GmbH,Münster,False,"<p>Du liebst es, wenn aus Ideen, Athleten, Produkten und Momenten starker Video-Content entsteht?</p>
<p>Wir sind GORNATION - eine Sportmarke aus Münster, gegründet 2015 mit der Mission, Calisthenics ",https://www.arbeitnow.com/jobs/companies/gornation-gmbh/videographer-content-editor-munster-311792,Social Media Manager,2026-05-02,arbeitnow
Full Stack Developer (m/w/d) - PHP/Symfony & React,FinMent GmbH,Berlin,False,"<p><strong>Unsere Mission: “Lass Dein Geld noch effizienter für Dich arbeiten!”</strong></p>
<p>Wir sind FinMent - ein schnell wachsendes, zweifach staatlich zertifiziertes FinTech Startup in Berlin. ",https://www.arbeitnow.com/jobs/companies/finment-gmbh/php-full-stack-developer-berlin-427616,Web Development,2026-05-02,arbeitnow
Fachbauleiter im Elektroanlagenbau für Energieversorgungsanlagen (m/w/d),AGO GmbH Energie + Anlagen,Kulmbach,False,"<p>Wir suchen ab sofort einen</p>
<p><strong>Fachbauleiter im Elektroanlagenbau (E-MSR)</strong></p>
<p>für Energieversorgungsanlagen (m/w/d).</p>
<h2>Aufgaben</h2>
<ul>
<li>Steuerung eigener Mitarbei",https://www.arbeitnow.com/jobs/companies/ago-gmbh-energie-anlagen/fachbauleiter-im-elektroanlagenbau-fur-energieversorgungsanlagen-kulmbach-453831,Engineering,2026-05-02,arbeitnow
Junior Full Stack Developer (m/w/d) -  Modern PHP,FinMent GmbH,Berlin,False,"<p><strong>Unsere Mission: “Lass Dein Geld noch effizienter für Dich arbeiten!”</strong></p>
<p>Wir sind FinMent - ein schnell wachsendes, zweifach staatlich zertifiziertes FinTech Startup in Berlin. ",https://www.arbeitnow.com/jobs/companies/finment-gmbh/junior-php-full-stack-developer-berlin-142127,Web Development,2026-05-02,arbeitnow
